epoch,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss
1,0.59585,1.45676,2.07047,1.01647,0.50233,1.51536,0.80771,0.97778
2,0.56782,1.22433,0.8461,0.96509,0.55057,1.42242,0.70216,0.96453
3,0.68564,1.44393,0.94341,1.02736,1.08535,2.51873,2.73336,1.41982
4,0.7955,1.64658,1.06979,1.09882,0.72107,1.68658,1.11443,1.10198
5,0.76126,1.55083,0.90774,1.07507,0.6744,1.55364,0.86927,1.07913
6,0.71892,1.47682,0.81359,1.04981,0.68166,1.54182,1.06881,1.07966
7,0.68205,1.35032,0.74742,1.03059,0.57858,1.31856,0.60955,0.99495
8,0.66164,1.3109,0.69476,1.01786,0.56934,1.30884,0.58832,1.00813
9,0.64142,1.27448,0.64879,1.00614,0.56888,1.28495,0.70116,0.98464
10,0.62109,1.21729,0.61331,0.99267,0.49893,1.12522,0.441,0.94173
11,0.60192,1.19283,0.58141,0.98406,0.50042,1.12791,0.41427,0.94249
12,0.59533,1.16937,0.56598,0.97967,0.49998,1.10542,0.42461,0.94742
13,0.58101,1.15199,0.54715,0.97378,0.49535,1.15945,0.44054,0.94694
14,0.56949,1.13117,0.5302,0.9687,0.47473,1.04979,0.40093,0.92554
15,0.55564,1.07362,0.50846,0.95897,0.47196,1.03918,0.39491,0.92249
16,0.55954,1.0699,0.50543,0.96028,0.46921,1.06391,0.38849,0.9245
17,0.55768,1.10996,0.49785,0.96114,0.43569,0.98669,0.35156,0.90195
18,0.53796,1.04624,0.46985,0.94981,0.43916,1.03952,0.34201,0.91077
19,0.53606,1.05628,0.47241,0.95272,0.43825,0.95242,0.34461,0.91037
20,0.53321,1.01877,0.46031,0.9474,0.43063,0.93861,0.34546,0.90765
21,0.52678,1.01275,0.45251,0.94421,0.42685,0.9462,0.3416,0.90259
22,0.51847,1.00842,0.44445,0.94063,0.41868,0.92654,0.31823,0.88961
23,0.51605,0.99154,0.43865,0.942,0.41787,0.91645,0.32364,0.89903
24,0.50776,0.97541,0.42709,0.93436,0.42744,0.89346,0.3144,0.90346
25,0.50191,0.97197,0.4181,0.93322,0.41157,0.92533,0.31177,0.88469
26,0.49896,0.96535,0.41885,0.92889,0.41747,0.88455,0.30898,0.89559
27,0.50289,0.96771,0.41038,0.92785,0.40533,0.90098,0.28937,0.88107
28,0.49179,0.93266,0.40234,0.92515,0.40008,0.89232,0.29339,0.87977
29,0.4855,0.9226,0.4037,0.9199,0.39515,0.87611,0.28553,0.88008
30,0.48221,0.90823,0.38939,0.91963,0.40114,0.87842,0.28457,0.88824
31,0.48745,0.91073,0.396,0.92769,0.39509,0.8557,0.28523,0.8878
32,0.47676,0.90806,0.3805,0.92244,0.40113,0.87117,0.28487,0.89329
33,0.47102,0.8801,0.3782,0.91513,0.38856,0.87765,0.27848,0.88307
34,0.46896,0.87847,0.37042,0.91534,0.38587,0.87849,0.27779,0.88083
35,0.46908,0.8832,0.37187,0.91545,0.38804,0.85555,0.26711,0.88341
36,0.46903,0.8871,0.37244,0.91465,0.37961,0.8247,0.26201,0.87033
37,0.45971,0.8496,0.35891,0.9111,0.37747,0.86136,0.26264,0.87671
38,0.45858,0.86533,0.36204,0.90869,0.37284,0.86138,0.26195,0.87261
39,0.4605,0.87568,0.36032,0.91124,0.37292,0.85198,0.26588,0.86999
40,0.45569,0.844,0.35569,0.90578,0.37189,0.84896,0.25715,0.86889
41,0.44892,0.83211,0.3495,0.90471,0.37218,0.86381,0.26419,0.87185
42,0.44731,0.81819,0.3457,0.90059,0.36213,0.81743,0.25246,0.85948
43,0.4503,0.83078,0.34574,0.90561,0.35853,0.84875,0.24721,0.85964
44,0.44551,0.8052,0.34133,0.902,0.36313,0.84394,0.25295,0.86391
45,0.44575,0.81799,0.33899,0.90404,0.3634,0.83011,0.2395,0.86551
46,0.44163,0.81636,0.3336,0.89988,0.35775,0.84826,0.24823,0.86377
47,0.43261,0.78454,0.32852,0.90093,0.35549,0.83281,0.23804,0.8633
48,0.43742,0.80201,0.33287,0.89775,0.35917,0.82034,0.24506,0.86403
49,0.43701,0.8051,0.32972,0.89798,0.35497,0.86191,0.23148,0.85851
50,0.42552,0.77897,0.32148,0.89264,0.35439,0.81094,0.23839,0.86343
51,0.42503,0.75898,0.31901,0.89356,0.35033,0.84164,0.23715,0.86187
52,0.4272,0.79151,0.32264,0.89351,0.34766,0.8264,0.23029,0.85942
53,0.42393,0.7734,0.31762,0.89155,0.34799,0.84673,0.23002,0.85423
54,0.41815,0.7473,0.31116,0.89003,0.34906,0.84531,0.22934,0.86066
55,0.41634,0.75164,0.30376,0.89127,0.34559,0.86058,0.22775,0.86061
56,0.41751,0.7488,0.31001,0.8881,0.34968,0.84646,0.22807,0.86305
