epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss
1,0.61585,2.12732,1.0322,0.52441,0.72761,0.99561
2,0.6048,0.88175,0.98976,0.68081,1.10386,1.04945
3,0.76968,1.03977,1.07669,1.23158,5.98912,1.81525
4,0.88956,1.17284,1.14593,1.70353,4.19009,1.85905
5,0.8393,0.99232,1.1145,0.80394,1.18447,1.18454
6,0.76756,0.8727,1.07698,0.72596,0.88247,1.11264
7,0.72875,0.78308,1.05704,0.67619,0.71689,1.06437
8,0.70172,0.72497,1.03737,0.63238,0.61154,1.05066
9,0.67955,0.68219,1.02134,0.64861,0.76528,1.05725
10,0.65683,0.63968,1.01314,0.58248,0.56637,0.99764
11,0.63352,0.61957,1.0015,0.57668,0.49394,0.98007
12,0.62584,0.5841,0.99753,0.53333,0.44872,0.96639
13,0.60743,0.57764,0.98777,0.52468,0.44274,0.96179
14,0.60339,0.54314,0.98823,0.5085,0.40893,0.94977
15,0.58593,0.53929,0.97435,0.49556,0.40569,0.94233
16,0.5811,0.51873,0.9697,0.51597,0.45026,0.95449
17,0.57718,0.51099,0.96771,0.48261,0.38833,0.92976
18,0.56731,0.49,0.96443,0.47806,0.35895,0.93139
19,0.55672,0.49488,0.96429,0.47047,0.37146,0.92796
20,0.5494,0.47633,0.95484,0.45254,0.33318,0.90543
21,0.54111,0.46286,0.95148,0.44876,0.34153,0.91276
22,0.533,0.45589,0.94968,0.44985,0.33725,0.91226
23,0.53338,0.45151,0.94597,0.43791,0.32214,0.90834
24,0.52476,0.43764,0.94162,0.44254,0.32629,0.90955
25,0.52321,0.43642,0.94134,0.43162,0.32213,0.90968
26,0.51656,0.42936,0.94086,0.42643,0.31706,0.905
27,0.50115,0.41957,0.93139,0.41958,0.30788,0.89024
28,0.508,0.41797,0.93519,0.42327,0.31228,0.90016
29,0.50408,0.40121,0.93424,0.42201,0.30385,0.89745
30,0.49437,0.40021,0.92618,0.41581,0.29048,0.89769
31,0.4971,0.39473,0.92994,0.41678,0.28994,0.89779
32,0.49244,0.39222,0.92702,0.39795,0.28528,0.87805
33,0.49177,0.39686,0.92484,0.40354,0.28068,0.88259
34,0.48274,0.38471,0.92284,0.40042,0.27351,0.88834
35,0.48293,0.37888,0.92213,0.39556,0.27169,0.88543
36,0.47242,0.37116,0.91919,0.39434,0.27231,0.88811
37,0.47126,0.36978,0.91871,0.38634,0.27207,0.87896
38,0.47149,0.37024,0.91724,0.3885,0.26217,0.88051
39,0.46864,0.36048,0.91515,0.38444,0.26289,0.87745
40,0.46305,0.35707,0.91383,0.38012,0.25728,0.87174
41,0.46618,0.35488,0.91195,0.38473,0.25794,0.87281
42,0.46219,0.35243,0.91193,0.38329,0.25315,0.88019
43,0.45384,0.3487,0.91003,0.38089,0.25492,0.87561
44,0.45275,0.34554,0.906,0.37535,0.24913,0.86628
