epoch,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss
1,0.74867,1.89765,4.13369,1.05187,0.58457,1.48726,3.53611,0.96129
2,0.72306,1.44717,2.6594,1.01,0.62694,1.26315,1.38589,0.94645
3,0.68128,1.36639,1.59371,0.9832,0.60312,1.39344,1.21597,0.94045
4,0.66712,1.36464,1.257,0.97335,0.54388,1.36269,0.82823,0.8993
5,0.6343,1.3143,1.06115,0.95267,0.53189,1.21408,0.83935,0.89707
6,0.60867,1.25853,0.93673,0.93794,0.51045,1.21268,0.65438,0.89054
7,0.60662,1.27768,0.86301,0.93715,0.49874,1.14438,0.69519,0.87912
8,0.59227,1.21105,0.79539,0.93201,0.48372,1.11759,0.56274,0.86989
9,0.57655,1.18853,0.74212,0.92495,0.49253,1.15684,0.54813,0.87401
10,0.57024,1.14694,0.69076,0.9224,0.46142,1.06557,0.49039,0.85743
11,0.56295,1.14546,0.65262,0.91898,0.47519,1.08797,0.58101,0.86216
12,0.55026,1.11345,0.62667,0.91415,0.45819,1.04692,0.49084,0.85977
13,0.55021,1.12634,0.61025,0.91409,0.47482,1.05331,0.4606,0.86112
14,0.54477,1.11633,0.58107,0.91473,0.45971,1.03439,0.46087,0.85318
15,0.53762,1.09006,0.57356,0.91017,0.43921,1.04105,0.42305,0.84911
16,0.53187,1.05915,0.54862,0.90568,0.45041,1.03697,0.40662,0.8552
17,0.5375,1.07853,0.54323,0.90947,0.45048,1.05034,0.38408,0.85308
18,0.51996,1.03708,0.5241,0.90301,0.43363,1.01106,0.41054,0.84433
19,0.52482,1.05699,0.51904,0.90647,0.43506,0.95624,0.36042,0.84443
20,0.51464,1.0183,0.50547,0.90037,0.4377,0.99306,0.39859,0.8493
21,0.51843,1.02538,0.49896,0.90143,0.44468,1.03043,0.42268,0.85024
22,0.51413,1.03187,0.48229,0.90085,0.42106,0.98017,0.3801,0.84054
23,0.51346,1.02537,0.48144,0.89996,0.42126,0.97026,0.34849,0.83827
24,0.5044,1.01656,0.4683,0.896,0.42273,0.93367,0.35735,0.83728
25,0.50306,0.99152,0.46511,0.89811,0.41322,0.9567,0.3411,0.83426
26,0.49912,0.97081,0.45902,0.89677,0.42169,0.97174,0.34528,0.84203
27,0.50237,0.99241,0.45533,0.89758,0.40996,0.98306,0.33446,0.83746
28,0.4984,0.97332,0.44985,0.8952,0.40376,0.91504,0.3306,0.83196
29,0.49694,0.97674,0.43878,0.89527,0.39815,0.97515,0.32645,0.83269
30,0.49097,0.96589,0.43105,0.89138,0.40172,0.93662,0.32331,0.82973
31,0.48897,0.95658,0.43299,0.89118,0.40887,0.98082,0.33783,0.83877
32,0.49186,0.97462,0.43173,0.89503,0.40025,0.96898,0.33589,0.83486
33,0.48891,0.94504,0.42323,0.89237,0.38483,0.92119,0.29887,0.83072
34,0.47907,0.91117,0.42092,0.8895,0.39577,0.92314,0.32196,0.82985
35,0.47761,0.92467,0.41163,0.88573,0.39798,0.91778,0.30355,0.83218
36,0.47652,0.9242,0.41537,0.88921,0.39423,0.95439,0.30648,0.83253
37,0.47636,0.92911,0.4101,0.88621,0.37967,0.92641,0.30712,0.82539
38,0.47107,0.89987,0.40028,0.88657,0.39518,0.93454,0.29684,0.83086
39,0.47032,0.8916,0.39191,0.88207,0.38635,0.93328,0.3041,0.82892
40,0.47447,0.9158,0.40461,0.88469,0.38735,0.94351,0.31091,0.82548
41,0.47011,0.89531,0.39934,0.88372,0.38627,0.94622,0.29322,0.82741
42,0.4698,0.9025,0.39535,0.88419,0.38062,0.91856,0.30918,0.82759
43,0.46989,0.90143,0.38968,0.8847,0.37464,0.90408,0.28131,0.82615
44,0.46445,0.89593,0.38696,0.88256,0.38247,0.9225,0.28537,0.82325
45,0.46072,0.88625,0.37647,0.8807,0.36887,0.9286,0.28247,0.82064
46,0.46095,0.88526,0.3849,0.88262,0.36989,0.94348,0.27485,0.82344
47,0.46205,0.8806,0.37896,0.88164,0.3769,0.91486,0.27642,0.82856
48,0.46058,0.87628,0.37644,0.88047,0.37166,0.91769,0.27145,0.81765
49,0.45293,0.86848,0.37317,0.8809,0.36854,0.89634,0.27233,0.81914
50,0.45667,0.87814,0.36947,0.88033,0.36677,0.93266,0.27024,0.82098
51,0.45241,0.86507,0.37152,0.8786,0.3664,0.90156,0.27248,0.81803
52,0.44846,0.86239,0.36662,0.87624,0.37098,0.87266,0.26998,0.82121
53,0.45055,0.85662,0.36339,0.87799,0.36796,0.89549,0.27329,0.82306
54,0.4449,0.85447,0.3592,0.87467,0.37609,0.94465,0.27501,0.82275
55,0.45078,0.86683,0.35904,0.87683,0.36693,0.92793,0.26983,0.82102
56,0.44301,0.83016,0.35369,0.87276,0.36963,0.88629,0.26807,0.81819
57,0.44482,0.85514,0.35555,0.87413,0.37244,0.91912,0.26643,0.8207
58,0.44459,0.86032,0.35819,0.87562,0.3613,0.91865,0.26819,0.81873
59,0.44037,0.82309,0.34885,0.87216,0.36718,0.87587,0.26967,0.82057
60,0.43832,0.81608,0.34523,0.87232,0.36714,0.90668,0.26938,0.82159
61,0.44151,0.83509,0.3509,0.87395,0.37679,0.9086,0.26067,0.82239
62,0.44069,0.83211,0.34459,0.8747,0.37308,0.89741,0.26665,0.8199
63,0.43552,0.82627,0.34295,0.87282,0.36337,0.89677,0.25449,0.81883
64,0.43883,0.82987,0.34351,0.8738,0.35652,0.8891,0.26134,0.81371
65,0.43116,0.83126,0.33587,0.87077,0.37006,0.89908,0.26285,0.81703
66,0.44013,0.83931,0.34559,0.87691,0.37534,0.87069,0.26475,0.82057
67,0.42492,0.80352,0.33376,0.86986,0.36879,0.91553,0.25793,0.81969
68,0.42553,0.78872,0.33237,0.86722,0.37168,0.90302,0.25516,0.81907
69,0.43128,0.83051,0.33334,0.8715,0.35897,0.91352,0.25374,0.81845
70,0.42276,0.80178,0.32766,0.86795,0.36826,0.92471,0.25692,0.81771
71,0.42865,0.79568,0.3338,0.87038,0.36226,0.89594,0.24796,0.81567
72,0.41894,0.79201,0.32635,0.86781,0.35789,0.90409,0.25638,0.81636
73,0.41947,0.78196,0.32423,0.86652,0.35905,0.86832,0.247,0.81544
74,0.42278,0.7827,0.3235,0.86876,0.35063,0.90314,0.24782,0.81534
75,0.42258,0.7972,0.32283,0.86972,0.35655,0.89439,0.25151,0.81509
76,0.41769,0.77411,0.3199,0.86558,0.35938,0.89638,0.25722,0.8151
77,0.41805,0.77713,0.31831,0.86631,0.3589,0.90261,0.24358,0.81526
78,0.41773,0.78201,0.31895,0.86695,0.3588,0.89772,0.25259,0.81641
79,0.40956,0.76181,0.31575,0.86342,0.35971,0.8963,0.24714,0.82043
80,0.40977,0.77465,0.31133,0.86425,0.35468,0.91504,0.25082,0.81467
81,0.40947,0.77407,0.31035,0.86581,0.35954,0.89335,0.24416,0.82053
82,0.41161,0.76522,0.31283,0.86434,0.36512,0.91149,0.24781,0.8197
83,0.40575,0.74184,0.30869,0.86058,0.36181,0.91686,0.25136,0.81778
84,0.40392,0.757,0.30434,0.86217,0.35679,0.89681,0.24853,0.81299
85,0.4017,0.74457,0.30372,0.8614,0.36401,0.90109,0.252,0.81687
86,0.4095,0.76905,0.30863,0.86387,0.36015,0.90299,0.24979,0.81392
87,0.40361,0.75993,0.30284,0.86185,0.36331,0.90085,0.24709,0.81734
88,0.40694,0.76827,0.3055,0.86518,0.3706,0.90339,0.24495,0.82141
89,0.39849,0.73572,0.29948,0.86103,0.36248,0.90981,0.25219,0.81786
90,0.40138,0.74886,0.29954,0.86306,0.3608,0.90809,0.24451,0.81838
91,0.35244,0.68649,0.25013,0.82559,0.36099,0.91488,0.24424,0.81813
92,0.34128,0.6719,0.23813,0.82403,0.3646,0.92081,0.24578,0.81944
93,0.33971,0.65263,0.23419,0.82226,0.35941,0.91808,0.24678,0.81744
94,0.33646,0.64342,0.23141,0.81593,0.3628,0.91883,0.24915,0.81874
95,0.33254,0.63981,0.22812,0.81804,0.36078,0.92733,0.24823,0.81869
96,0.33075,0.63877,0.22687,0.81578,0.35977,0.92365,0.24894,0.81721
97,0.32912,0.63357,0.22365,0.81686,0.35689,0.91941,0.24459,0.81528
98,0.33162,0.64036,0.22432,0.81915,0.35705,0.91736,0.24696,0.81483
99,0.32783,0.62753,0.22336,0.81553,0.35675,0.92249,0.25014,0.81451
100,0.32533,0.62848,0.22187,0.81476,0.3565,0.92395,0.2463,0.8153
