epoch,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss
1,0.54893,1.31103,1.7667,1.00851,0.49812,1.12252,0.68021,0.96784
2,0.56205,1.21098,0.84898,0.98288,0.58988,1.33996,0.86697,1.03819
3,0.68134,1.43275,0.94089,1.06366,0.72214,1.64039,1.15223,1.16075
4,0.74604,1.53521,0.98412,1.10484,0.64784,1.46643,0.66974,1.10043
5,0.7206,1.47529,0.86105,1.08345,0.60808,1.39715,0.63779,1.09195
6,0.68438,1.38346,0.79807,1.06496,0.57173,1.30531,0.59723,1.04956
7,0.66141,1.32507,0.72488,1.05182,0.60966,1.34749,0.62908,1.08372
8,0.63421,1.26486,0.66169,1.03369,0.53744,1.25134,0.48379,1.02734
9,0.6196,1.26001,0.64404,1.02307,0.51448,1.15482,0.44268,1.00163
10,0.60646,1.20777,0.61132,1.0157,0.49753,1.0923,0.43212,0.99277
11,0.58812,1.16203,0.57694,1.00487,0.48346,1.03654,0.42238,0.98227
12,0.57413,1.13884,0.5493,0.99543,0.47279,1.05295,0.39997,0.9798
13,0.57366,1.13459,0.54326,0.99525,0.46848,1.04823,0.38699,0.96656
14,0.55706,1.09794,0.52371,0.98654,0.47171,1.04244,0.42104,0.97044
15,0.54783,1.07701,0.49823,0.97795,0.44606,0.96396,0.36845,0.95402
16,0.5422,1.06426,0.48754,0.97656,0.4613,0.98805,0.37809,0.96961
17,0.53751,1.04376,0.47907,0.97217,0.44244,0.971,0.35833,0.96033
18,0.53157,1.02906,0.47038,0.97008,0.42475,0.91883,0.34025,0.9358
19,0.52113,1.01901,0.45865,0.96677,0.42448,0.9427,0.31836,0.93523
20,0.51643,0.99741,0.45042,0.95912,0.41987,0.89682,0.3271,0.93792
21,0.50789,0.99275,0.44025,0.95854,0.42153,0.95854,0.32161,0.94315
22,0.5042,0.96831,0.43505,0.95613,0.41804,0.92692,0.32065,0.93541
23,0.50281,0.96415,0.4349,0.95426,0.41253,0.91371,0.30988,0.93474
24,0.4986,0.94812,0.42022,0.95177,0.41023,0.88893,0.29798,0.9365
25,0.49265,0.93447,0.41214,0.9461,0.40966,0.89928,0.30494,0.93443
26,0.48504,0.92394,0.39727,0.94434,0.3971,0.87746,0.29947,0.92443
27,0.47823,0.89845,0.39525,0.93945,0.39012,0.87564,0.29962,0.91478
28,0.47441,0.90546,0.39317,0.93824,0.38619,0.8469,0.28954,0.91881
29,0.47281,0.88893,0.38873,0.93538,0.37783,0.84273,0.28163,0.91431
30,0.46701,0.86762,0.37604,0.93305,0.38473,0.84755,0.27915,0.91729
31,0.46481,0.88401,0.37051,0.93246,0.37829,0.85246,0.27343,0.90752
32,0.46502,0.86494,0.37004,0.92973,0.37875,0.83853,0.26484,0.9051
33,0.4597,0.84964,0.36631,0.92791,0.37854,0.86139,0.26498,0.91185
34,0.45663,0.8438,0.36206,0.92641,0.37103,0.86632,0.26105,0.90877
35,0.45781,0.85104,0.35902,0.92898,0.3748,0.82705,0.26536,0.90773
36,0.44934,0.84215,0.35877,0.92456,0.37721,0.83446,0.25828,0.91094
37,0.44722,0.83795,0.35581,0.92041,0.37327,0.81525,0.25219,0.91198
38,0.4393,0.8131,0.34456,0.91922,0.36391,0.8151,0.25234,0.89931
39,0.44494,0.83767,0.34314,0.91618,0.36335,0.81878,0.25261,0.90405
40,0.44004,0.81245,0.33769,0.91877,0.35946,0.84385,0.25353,0.90144
41,0.43477,0.80163,0.33547,0.91417,0.36247,0.83243,0.24679,0.90403
42,0.43319,0.81374,0.3327,0.91679,0.36064,0.80295,0.25101,0.90261
43,0.42998,0.78898,0.33302,0.91267,0.35666,0.86064,0.244,0.9084
44,0.42793,0.79379,0.32308,0.91524,0.35585,0.84113,0.23694,0.90539
45,0.43065,0.77692,0.32688,0.91259,0.3555,0.82375,0.24003,0.8988
46,0.42801,0.78764,0.32167,0.9111,0.35268,0.82084,0.24148,0.89651
47,0.42196,0.77389,0.3221,0.90641,0.3472,0.79347,0.23401,0.89405
48,0.42127,0.77677,0.32056,0.9063,0.34996,0.81825,0.23529,0.89108
49,0.41444,0.75521,0.31396,0.90437,0.35218,0.8212,0.23541,0.8997
50,0.41851,0.76324,0.30696,0.9036,0.34574,0.80564,0.23034,0.89126
51,0.4164,0.74988,0.30678,0.90595,0.3479,0.834,0.23238,0.88885
52,0.41468,0.75658,0.30614,0.90233,0.34489,0.81193,0.22258,0.89134
53,0.40723,0.73532,0.30146,0.89907,0.34833,0.8137,0.22879,0.89613
54,0.40922,0.72925,0.30134,0.8975,0.34598,0.82633,0.22855,0.89369
55,0.39888,0.7194,0.29223,0.89835,0.34324,0.82316,0.2321,0.89598
56,0.40472,0.73468,0.29584,0.89834,0.3399,0.80695,0.22152,0.89728
57,0.39981,0.70503,0.28865,0.89969,0.33388,0.84151,0.22332,0.89259
58,0.39545,0.71515,0.28493,0.89417,0.33587,0.8105,0.22289,0.8894
59,0.39929,0.72466,0.2871,0.89553,0.34046,0.82557,0.21866,0.89382
60,0.38668,0.69603,0.27943,0.89236,0.33827,0.83395,0.21473,0.89704
61,0.38771,0.69942,0.27876,0.88933,0.33527,0.81237,0.21476,0.89521
62,0.38968,0.70298,0.28007,0.89158,0.33224,0.81266,0.2136,0.89416
63,0.38655,0.69189,0.27815,0.89072,0.32885,0.82164,0.21241,0.88956
64,0.38405,0.68623,0.27354,0.8875,0.33164,0.81385,0.21299,0.88841
65,0.37957,0.68401,0.26895,0.88756,0.33079,0.80376,0.21348,0.88686
66,0.37472,0.67578,0.26731,0.88578,0.32636,0.80796,0.2077,0.8833
67,0.37864,0.67215,0.26685,0.88784,0.32755,0.79118,0.20794,0.88933
68,0.37346,0.66053,0.26391,0.88503,0.3284,0.79888,0.21023,0.89308
69,0.37394,0.66689,0.26306,0.88179,0.32818,0.79891,0.21253,0.88937
70,0.37637,0.65793,0.25951,0.88187,0.32769,0.81092,0.21092,0.88993
71,0.36679,0.6472,0.25541,0.88173,0.32944,0.80278,0.20522,0.8911
72,0.36576,0.64171,0.25291,0.87896,0.32781,0.81437,0.2012,0.891
73,0.36256,0.64253,0.2517,0.87777,0.32423,0.82738,0.20242,0.8852
74,0.36475,0.63996,0.24799,0.8768,0.32532,0.82368,0.20271,0.88572
75,0.36186,0.64355,0.24819,0.87796,0.32189,0.80736,0.20051,0.88414
76,0.36159,0.63829,0.24859,0.87877,0.32461,0.81626,0.2028,0.88984
77,0.35333,0.62184,0.24265,0.87551,0.32509,0.82818,0.20115,0.89157
78,0.34942,0.61082,0.23896,0.8737,0.32458,0.82861,0.19852,0.88904
79,0.35067,0.61123,0.23807,0.87367,0.32572,0.83726,0.2016,0.88901
80,0.35041,0.61321,0.23644,0.87415,0.32027,0.83223,0.19793,0.8846
81,0.34749,0.60778,0.23541,0.87272,0.31945,0.81766,0.19549,0.88545
82,0.34803,0.61062,0.23425,0.87068,0.31975,0.82787,0.19791,0.8848
83,0.3418,0.59174,0.23055,0.86991,0.31824,0.83979,0.19945,0.88656
84,0.33854,0.60021,0.22683,0.87054,0.31887,0.83047,0.19694,0.88734
85,0.3389,0.6062,0.22594,0.87085,0.31715,0.81353,0.19437,0.8855
86,0.33816,0.58595,0.2229,0.86782,0.3168,0.82042,0.19421,0.88438
87,0.33455,0.58775,0.22157,0.86578,0.31938,0.81733,0.19159,0.8895
88,0.33537,0.58732,0.22171,0.87049,0.31972,0.81938,0.19111,0.88893
89,0.32986,0.58179,0.21494,0.86492,0.31978,0.83131,0.19183,0.88983
90,0.3286,0.57672,0.2156,0.8639,0.31881,0.82657,0.19091,0.88681
91,0.26619,0.48526,0.16718,0.81973,0.31879,0.83101,0.18979,0.88677
92,0.26458,0.48009,0.16643,0.81862,0.31923,0.84141,0.19187,0.88739
93,0.26061,0.4686,0.16356,0.82098,0.31957,0.84841,0.1925,0.88738
94,0.25839,0.45899,0.16059,0.81764,0.32014,0.85356,0.19144,0.88792
95,0.25577,0.45764,0.16253,0.81476,0.31992,0.87847,0.19266,0.88818
96,0.25185,0.46487,0.15696,0.81388,0.31902,0.88648,0.19317,0.88757
97,0.25087,0.4568,0.15451,0.81218,0.31834,0.89334,0.19335,0.88626
98,0.2472,0.4484,0.15281,0.81051,0.31883,0.88592,0.19452,0.88514
99,0.24442,0.44602,0.14894,0.81007,0.31981,0.88909,0.1957,0.88738
100,0.24114,0.44873,0.14728,0.80971,0.3195,0.89361,0.19434,0.88702
