epoch,train/box_loss,train/cls_loss,train/dfl_loss,val/box_loss,val/cls_loss,val/dfl_loss
1,0.56615,1.7822,1.0183,0.46708,0.51325,0.97333
2,0.57651,0.80841,0.99398,0.64449,1.06295,1.12368
3,0.73177,0.99298,1.08941,0.73467,1.05792,1.1984
4,0.80981,1.03595,1.14388,0.81518,1.04664,1.2407
5,0.776,0.90949,1.12227,0.72387,0.75789,1.17322
6,0.73784,0.82805,1.09785,0.66674,0.76103,1.14257
7,0.69369,0.73893,1.07216,0.59696,0.57233,1.05555
8,0.66843,0.68136,1.05248,0.61613,0.67191,1.10168
9,0.64344,0.65363,1.04026,0.55531,0.49136,1.03932
10,0.64088,0.62035,1.03643,0.54438,0.50775,1.0352
11,0.6097,0.58696,1.02191,0.50818,0.42187,1.01541
12,0.61112,0.57052,1.01662,0.51212,0.44288,1.00937
13,0.59555,0.55181,1.0111,0.49191,0.41222,0.98943
14,0.57658,0.52365,0.99968,0.48105,0.38073,0.98195
15,0.56364,0.5074,0.99272,0.47948,0.39352,0.98959
16,0.56084,0.50112,0.98945,0.4866,0.3963,0.98834
17,0.5614,0.49515,0.98672,0.47626,0.36236,0.98026
18,0.54206,0.47115,0.97858,0.46548,0.36176,0.98578
19,0.5369,0.47046,0.97551,0.46454,0.35303,0.96824
20,0.53329,0.45154,0.96906,0.44657,0.31945,0.95819
21,0.52724,0.45316,0.96986,0.45251,0.32758,0.96026
22,0.52454,0.44616,0.96929,0.43922,0.31959,0.96035
23,0.5151,0.43387,0.9618,0.42468,0.3127,0.94962
24,0.5112,0.42648,0.95942,0.42891,0.31309,0.95127
25,0.5028,0.41488,0.95231,0.42908,0.30909,0.95054
26,0.49499,0.40968,0.94963,0.42204,0.31338,0.94248
27,0.49621,0.40558,0.9492,0.41047,0.29555,0.93283
28,0.48671,0.39577,0.94496,0.4113,0.29267,0.93837
29,0.48757,0.3895,0.94888,0.40802,0.28947,0.93215
30,0.48566,0.38743,0.94262,0.40431,0.28531,0.93548
31,0.48136,0.38073,0.94339,0.40417,0.27872,0.93729
32,0.47851,0.38098,0.94157,0.4019,0.2861,0.92938
33,0.47695,0.37586,0.94172,0.39978,0.27665,0.93623
34,0.47372,0.37053,0.93629,0.40465,0.27668,0.93658
35,0.47211,0.36338,0.93888,0.39357,0.27562,0.92466
36,0.46208,0.36345,0.93326,0.38843,0.27376,0.91371
37,0.46001,0.35309,0.93032,0.38824,0.25747,0.92341
38,0.45836,0.35019,0.92924,0.38737,0.25927,0.91998
39,0.45404,0.34594,0.92658,0.39305,0.26531,0.93121
40,0.45443,0.35291,0.92666,0.38355,0.26457,0.91993
41,0.4502,0.3421,0.92569,0.37264,0.25072,0.91386
42,0.45013,0.3438,0.92559,0.37655,0.253,0.91603
43,0.44682,0.33613,0.92326,0.37563,0.25658,0.91643
44,0.44152,0.33193,0.91905,0.37341,0.24319,0.91433
