epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,284.803,0.44019,3.69808,0.25045,0.71594,0.63003,0.63043,0.54525,0.23983,1.04796,0.16555,0.00332809,0.00332809,0.00332809
2,611.793,0.33167,0.754,0.14753,0.87393,0.82601,0.86914,0.7233,0.25121,0.56178,0.17074,0.00659548,0.00659548,0.00659548
3,933.665,0.42371,0.58112,0.16922,0.88636,0.80869,0.87282,0.7047,0.28622,0.52735,0.18458,0.00979686,0.00979686,0.00979686
4,1289,0.46997,0.56211,0.18318,0.87667,0.82751,0.87333,0.64472,0.35681,0.52109,0.20662,0.009703,0.009703,0.009703
5,1674.21,0.45321,0.54425,0.17649,0.89748,0.84011,0.88832,0.70041,0.30905,0.49367,0.18272,0.009604,0.009604,0.009604
6,2199.35,0.44614,0.51815,0.1719,0.90505,0.87275,0.90578,0.73675,0.27641,0.4417,0.17201,0.009505,0.009505,0.009505
7,2748.09,0.46392,0.50711,0.17347,0.90897,0.86931,0.90819,0.70251,0.31684,0.44138,0.18332,0.009406,0.009406,0.009406
8,3132.17,0.41353,0.49708,0.16016,0.90507,0.85954,0.90946,0.71597,0.30661,0.44451,0.1805,0.009307,0.009307,0.009307
9,3431.44,0.41817,0.49515,0.15662,0.92202,0.88008,0.91275,0.74845,0.27114,0.41284,0.16923,0.009208,0.009208,0.009208
10,3728.38,0.42258,0.4843,0.15865,0.91753,0.87286,0.91623,0.76237,0.25469,0.41241,0.161,0.009109,0.009109,0.009109
11,4024.94,0.42216,0.47724,0.15772,0.92684,0.88456,0.92406,0.76707,0.25544,0.40067,0.16247,0.00901,0.00901,0.00901
12,4323.14,0.4166,0.46469,0.15178,0.91763,0.87573,0.91922,0.77786,0.23732,0.40153,0.15607,0.008911,0.008911,0.008911
13,4625.98,0.40711,0.46902,0.1491,0.92088,0.88937,0.92064,0.77961,0.23777,0.40104,0.15803,0.008812,0.008812,0.008812
14,5013.46,0.39145,0.46436,0.14811,0.91406,0.88978,0.91469,0.73426,0.29488,0.40367,0.16825,0.008713,0.008713,0.008713
