epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,483.303,0.65611,1.86202,1.05671,0.76398,0.75138,0.81066,0.67623,0.63834,0.91113,1.08245,0.00332809,0.00332809,0.00332809
2,888.987,0.69455,1.00614,1.04596,0.84375,0.77843,0.85685,0.70756,0.70484,0.79853,1.12791,0.00659548,0.00659548,0.00659548
3,1443.25,0.78048,0.95665,1.10029,0.80829,0.77694,0.82657,0.64936,0.78156,1.01232,1.19815,0.00979686,0.00979686,0.00979686
4,1885.32,0.79584,0.92232,1.11807,0.84594,0.81338,0.87066,0.71386,0.70825,0.75497,1.167,0.009703,0.009703,0.009703
5,2363.26,0.737,0.80028,1.08834,0.86559,0.83762,0.88702,0.72898,0.69124,0.68079,1.13661,0.009604,0.009604,0.009604
6,2708.1,0.70127,0.72065,1.0683,0.88632,0.855,0.90108,0.76104,0.64232,0.64149,1.09764,0.009505,0.009505,0.009505
7,2880.58,0.6792,0.67455,1.051,0.91049,0.83343,0.90528,0.76847,0.63203,0.57949,1.09564,0.009406,0.009406,0.009406
8,3091.53,0.65752,0.63789,1.03854,0.92798,0.8574,0.92109,0.78997,0.59709,0.53852,1.05701,0.009307,0.009307,0.009307
9,3316.48,0.63692,0.6059,1.02717,0.91024,0.87164,0.92014,0.79344,0.58689,0.53306,1.05703,0.009208,0.009208,0.009208
10,3568.07,0.62408,0.5873,1.01906,0.90467,0.88091,0.91587,0.79609,0.57386,0.5198,1.04906,0.009109,0.009109,0.009109
11,3820.62,0.61836,0.57344,1.01557,0.91919,0.8728,0.91983,0.80204,0.57209,0.50174,1.04915,0.00901,0.00901,0.00901
12,4171.11,0.60536,0.54628,1.00449,0.91932,0.88384,0.92605,0.80819,0.56207,0.46965,1.03983,0.008911,0.008911,0.008911
13,4382.89,0.59146,0.52803,1,0.93113,0.8735,0.92673,0.81221,0.56815,0.47405,1.04459,0.008812,0.008812,0.008812
14,4549.1,0.59528,0.52439,0.99987,0.93086,0.89775,0.92963,0.81959,0.54885,0.46031,1.03366,0.008713,0.008713,0.008713
15,4698,0.57926,0.50203,0.98672,0.9324,0.89138,0.93025,0.81963,0.54896,0.45478,1.02118,0.008614,0.008614,0.008614
16,4905.01,0.57142,0.49309,0.9857,0.93633,0.88401,0.92966,0.82193,0.54264,0.44646,1.0207,0.008515,0.008515,0.008515
17,5079.78,0.56586,0.47578,0.98133,0.93106,0.89396,0.93178,0.8283,0.52854,0.43119,1.00683,0.008416,0.008416,0.008416
18,5234.92,0.56711,0.47838,0.98063,0.94178,0.89732,0.93934,0.83049,0.5317,0.40973,1.01041,0.008317,0.008317,0.008317
19,5403.76,0.55376,0.46277,0.97392,0.93084,0.89913,0.93212,0.83021,0.52194,0.41436,1.00554,0.008218,0.008218,0.008218
20,5618.68,0.55122,0.4506,0.96969,0.94437,0.89654,0.93908,0.83577,0.51418,0.40857,0.99412,0.008119,0.008119,0.008119
21,5872.24,0.54384,0.44228,0.96994,0.94237,0.89702,0.9372,0.83345,0.51782,0.40899,0.99866,0.00802,0.00802,0.00802
22,6063.1,0.54579,0.43968,0.96675,0.9346,0.91188,0.94162,0.84115,0.51109,0.38938,0.99325,0.007921,0.007921,0.007921
23,6190.94,0.53419,0.42922,0.95857,0.93649,0.90303,0.94068,0.84219,0.51381,0.40874,0.99589,0.007822,0.007822,0.007822
24,6303.52,0.53115,0.43012,0.95902,0.94486,0.89813,0.94374,0.84725,0.49709,0.38269,0.98156,0.007723,0.007723,0.007723
25,6416.86,0.52443,0.41679,0.95234,0.94705,0.90762,0.94602,0.8438,0.50491,0.38167,0.99279,0.007624,0.007624,0.007624
26,6536.06,0.52537,0.41636,0.95628,0.94843,0.90463,0.94657,0.84864,0.49738,0.38306,0.97654,0.007525,0.007525,0.007525
27,6649.13,0.52333,0.4177,0.95493,0.94081,0.90579,0.9432,0.8465,0.49444,0.38469,0.97666,0.007426,0.007426,0.007426
28,6780.61,0.52048,0.40718,0.95237,0.94759,0.90652,0.94543,0.84646,0.49991,0.37229,0.98146,0.007327,0.007327,0.007327
29,6943.28,0.50924,0.39965,0.9466,0.94725,0.9098,0.94673,0.8516,0.49413,0.37059,0.98182,0.007228,0.007228,0.007228
30,7142.44,0.51001,0.39379,0.94408,0.94811,0.90853,0.94695,0.85439,0.49972,0.36935,0.98343,0.007129,0.007129,0.007129
31,7273.18,0.51042,0.39331,0.94453,0.93868,0.91505,0.9477,0.85587,0.48938,0.36607,0.9762,0.00703,0.00703,0.00703
32,7467.17,0.50856,0.38905,0.94482,0.95508,0.89701,0.94424,0.85245,0.4952,0.3664,0.98308,0.006931,0.006931,0.006931
33,7641.96,0.50106,0.3842,0.9405,0.94892,0.91996,0.94734,0.85633,0.48238,0.35239,0.97162,0.006832,0.006832,0.006832
34,7805.16,0.50239,0.3816,0.94167,0.95554,0.91191,0.94754,0.85717,0.48019,0.35033,0.9763,0.006733,0.006733,0.006733
35,7992.59,0.49895,0.37994,0.93865,0.95388,0.91483,0.95095,0.86114,0.49039,0.34281,0.97938,0.006634,0.006634,0.006634
36,8114.36,0.49299,0.37027,0.93665,0.95091,0.92065,0.95169,0.86287,0.46858,0.33607,0.96412,0.006535,0.006535,0.006535
37,8246.44,0.48763,0.36688,0.93275,0.95457,0.91877,0.95182,0.86289,0.4774,0.34112,0.97069,0.006436,0.006436,0.006436
38,8361.39,0.49156,0.37085,0.9358,0.95897,0.91425,0.95152,0.86221,0.4691,0.34031,0.96964,0.006337,0.006337,0.006337
39,8537.54,0.49049,0.36316,0.93072,0.94941,0.91854,0.95098,0.86188,0.47702,0.33797,0.97065,0.006238,0.006238,0.006238
40,8662.05,0.48353,0.35848,0.92671,0.9616,0.91249,0.95114,0.86327,0.47279,0.3376,0.97084,0.006139,0.006139,0.006139
41,8775.73,0.48541,0.35904,0.92968,0.95475,0.91638,0.94835,0.86164,0.47148,0.3399,0.97073,0.00604,0.00604,0.00604
