epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.644,0.65636,1.88907,1.06071,0.85284,0.77847,0.85985,0.72937,0.60339,0.74057,1.07,0.00332579,0.00332579,0.00332579
2,320.488,0.68402,0.9903,1.05004,0.80526,0.69196,0.78257,0.62872,0.78992,0.98352,1.17468,0.0065932,0.0065932,0.0065932
3,476.839,0.84344,1.16065,1.15055,0.71294,0.62929,0.68929,0.52147,0.93009,1.35047,1.3371,0.00979461,0.00979461,0.00979461
4,630.367,0.91382,1.20708,1.20521,0.75672,0.58564,0.65674,0.49757,1.01786,1.60301,1.39669,0.009703,0.009703,0.009703
5,783.864,0.87034,1.07585,1.18,0.84211,0.71768,0.80159,0.63216,0.81068,0.90508,1.22492,0.009604,0.009604,0.009604
6,937.506,0.82351,0.95955,1.14366,0.8451,0.73938,0.81756,0.65578,0.78541,0.8774,1.18085,0.009505,0.009505,0.009505
7,1090.85,0.79482,0.88975,1.12615,0.83987,0.76411,0.82819,0.66952,0.73416,0.7846,1.16665,0.009406,0.009406,0.009406
8,1244.17,0.76459,0.83168,1.10667,0.90073,0.78097,0.8714,0.7204,0.68886,0.6674,1.11276,0.009307,0.009307,0.009307
9,1397.45,0.74527,0.78427,1.09034,0.891,0.82465,0.8922,0.74511,0.66189,0.60615,1.10859,0.009208,0.009208,0.009208
10,1550.88,0.71633,0.74542,1.0767,0.9018,0.82181,0.89291,0.75155,0.64547,0.5921,1.09081,0.009109,0.009109,0.009109
11,1704.38,0.71221,0.71292,1.06658,0.87422,0.83683,0.89299,0.74847,0.64544,0.583,1.07882,0.00901,0.00901,0.00901
12,1857.9,0.69142,0.67633,1.05524,0.90964,0.84936,0.90555,0.77247,0.61328,0.51753,1.06092,0.008911,0.008911,0.008911
13,2011.43,0.67614,0.64705,1.04679,0.90992,0.84893,0.90781,0.77829,0.60749,0.52414,1.06767,0.008812,0.008812,0.008812
14,2165.01,0.66472,0.62908,1.03791,0.90182,0.8685,0.91994,0.79389,0.58339,0.49438,1.04028,0.008713,0.008713,0.008713
15,2318.57,0.65501,0.61812,1.03152,0.93351,0.86132,0.91522,0.79123,0.58075,0.48752,1.03597,0.008614,0.008614,0.008614
16,2472.08,0.6413,0.59792,1.02847,0.91777,0.86843,0.92339,0.79824,0.56611,0.46555,1.03447,0.008515,0.008515,0.008515
17,2625.8,0.63777,0.58405,1.0215,0.91689,0.87945,0.92423,0.79703,0.56464,0.46959,1.02841,0.008416,0.008416,0.008416
