epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.829,0.65467,1.52214,1.91863,1.05684,0.79474,0.77023,0.83162,0.71094,0.7857,0.76368,0.81166,0.64749,0.60863,1.5182,0.81951,1.03581,0.00333006,0.00333006,0.00333006
2,555.837,0.6612,1.42338,1.00275,1.03888,0.84543,0.79214,0.85561,0.71386,0.83638,0.78335,0.83985,0.65694,0.65747,1.55029,0.76205,1.09582,0.00659742,0.00659742,0.00659742
3,820.107,0.75147,1.58753,0.97872,1.09318,0.81409,0.75054,0.80864,0.64687,0.79818,0.74538,0.78534,0.60078,0.76386,1.69965,0.92769,1.18612,0.00979879,0.00979879,0.00979879
4,1080.4,0.78245,1.60695,0.93792,1.11294,0.83911,0.78476,0.85962,0.71094,0.83213,0.77433,0.84138,0.66095,0.69997,1.62567,0.7894,1.13654,0.009703,0.009703,0.009703
5,1340.34,0.73817,1.52473,0.82249,1.08692,0.87572,0.80859,0.87811,0.73202,0.8682,0.79824,0.86027,0.68199,0.67274,1.52663,0.69796,1.1141,0.009604,0.009604,0.009604
6,1599.69,0.69461,1.43642,0.7485,1.06044,0.8883,0.84076,0.89536,0.76101,0.88102,0.83187,0.88173,0.70934,0.65418,1.42069,0.60468,1.11745,0.009505,0.009505,0.009505
7,1860.07,0.68006,1.39126,0.69651,1.04974,0.91161,0.83039,0.90311,0.77764,0.89898,0.82003,0.88422,0.72645,0.60343,1.40366,0.58592,1.06533,0.009406,0.009406,0.009406
8,2119.42,0.64858,1.33054,0.65118,1.02961,0.89809,0.86407,0.91095,0.78053,0.8947,0.85785,0.89406,0.73768,0.59724,1.29615,0.54224,1.06553,0.009307,0.009307,0.009307
9,2380.6,0.63826,1.28463,0.63426,1.02402,0.90145,0.86605,0.91305,0.79123,0.89213,0.85693,0.89369,0.7334,0.58048,1.3021,0.55307,1.04483,0.009208,0.009208,0.009208
10,2638.25,0.61968,1.26231,0.59334,1.01177,0.91776,0.86486,0.91933,0.80079,0.90247,0.85341,0.89745,0.74907,0.57399,1.28191,0.51165,1.03825,0.009109,0.009109,0.009109
11,2900.11,0.61668,1.24492,0.5823,1.01198,0.90828,0.87393,0.92144,0.80906,0.91171,0.86491,0.91163,0.76415,0.56027,1.25172,0.50443,1.03581,0.00901,0.00901,0.00901
12,3158.44,0.60188,1.21202,0.55813,1.00166,0.91564,0.87335,0.92141,0.804,0.90993,0.86819,0.90817,0.76206,0.55409,1.20977,0.47959,1.03275,0.008911,0.008911,0.008911
13,3418.95,0.59229,1.1765,0.54258,0.99505,0.91764,0.88061,0.92907,0.81089,0.91167,0.87394,0.91186,0.76756,0.55438,1.20418,0.471,1.03767,0.008812,0.008812,0.008812
14,3677.8,0.58562,1.16319,0.53016,0.9908,0.93687,0.87596,0.93197,0.8227,0.92947,0.87618,0.92057,0.77806,0.53564,1.1564,0.46544,1.01342,0.008713,0.008713,0.008713
