epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.472,0.64678,1.50663,1.8941,1.05413,0.77626,0.71975,0.78255,0.67168,0.77542,0.70286,0.76412,0.61565,0.59692,1.46656,0.98853,1.05106,0.00333006,0.00333006,0.00333006
2,708.934,0.66627,1.45632,1.05092,1.04547,0.82738,0.69297,0.79728,0.67031,0.82078,0.68246,0.77598,0.60974,0.68284,1.67666,0.91878,1.08462,0.00659742,0.00659742,0.00659742
3,1050.59,0.80533,1.7587,1.17237,1.13122,0.72225,0.62444,0.67789,0.53181,0.70732,0.61523,0.65868,0.48497,0.93176,2.20536,1.29099,1.2799,0.00979879,0.00979879,0.00979879
4,1389.58,0.91193,1.94922,1.30728,1.20414,0.811,0.69647,0.78255,0.62653,0.80348,0.69198,0.7632,0.57508,0.82809,1.8937,0.98965,1.22343,0.009703,0.009703,0.009703
5,1729.91,0.86731,1.84563,1.15027,1.17605,0.84454,0.73358,0.80952,0.65697,0.8353,0.72608,0.79426,0.61186,0.80445,1.85395,0.89399,1.20865,0.009604,0.009604,0.009604
6,2068.37,0.81712,1.73946,1.01458,1.14016,0.82627,0.75528,0.82145,0.66789,0.83311,0.72993,0.80145,0.62233,0.78766,1.79993,0.87856,1.20829,0.009505,0.009505,0.009505
7,2406.7,0.78544,1.67063,0.93621,1.11735,0.86014,0.7717,0.84999,0.70473,0.85114,0.76439,0.8304,0.65595,0.70407,1.62587,0.75057,1.1372,0.009406,0.009406,0.009406
8,2747.43,0.75281,1.59617,0.87224,1.09936,0.87214,0.79906,0.86948,0.72391,0.8627,0.78789,0.84732,0.67721,0.68987,1.52636,0.70152,1.11524,0.009307,0.009307,0.009307
9,3088.67,0.73646,1.53389,0.83189,1.08755,0.86531,0.82597,0.88825,0.75117,0.85348,0.8191,0.86891,0.70443,0.65154,1.48764,0.65238,1.09214,0.009208,0.009208,0.009208
10,3433.54,0.71239,1.49945,0.77787,1.07,0.8904,0.84309,0.89208,0.75765,0.88218,0.83521,0.87292,0.70224,0.63584,1.44785,0.59992,1.08014,0.009109,0.009109,0.009109
11,3780.55,0.69772,1.46634,0.74797,1.06296,0.90456,0.83373,0.89897,0.7643,0.89739,0.82882,0.8873,0.72495,0.64017,1.43326,0.59684,1.09623,0.00901,0.00901,0.00901
12,4125.41,0.68295,1.41559,0.71847,1.05118,0.89898,0.8584,0.90864,0.78382,0.88502,0.84726,0.89188,0.73836,0.61763,1.35643,0.52899,1.07031,0.008911,0.008911,0.008911
13,4467.95,0.67311,1.38438,0.68478,1.04509,0.93348,0.8384,0.91469,0.78716,0.92773,0.83646,0.90268,0.74059,0.59249,1.34519,0.51691,1.04728,0.008812,0.008812,0.008812
14,4812.67,0.66049,1.35075,0.66248,1.03651,0.92062,0.85712,0.92031,0.79497,0.91984,0.85206,0.90592,0.75612,0.59295,1.27904,0.50748,1.04162,0.008713,0.008713,0.008713
15,5162.56,0.65019,1.33518,0.64611,1.0329,0.93005,0.85909,0.92126,0.8016,0.90066,0.87046,0.90836,0.75205,0.57864,1.26679,0.5036,1.03659,0.008614,0.008614,0.008614
16,5510.62,0.63697,1.30267,0.62952,1.02256,0.9184,0.88223,0.92215,0.80275,0.9017,0.87518,0.90192,0.75244,0.57449,1.29065,0.47856,1.03564,0.008515,0.008515,0.008515
17,5853.16,0.62817,1.28284,0.60966,1.01862,0.91811,0.87423,0.9203,0.8046,0.91308,0.86702,0.90895,0.76431,0.55921,1.25918,0.48085,1.02447,0.008416,0.008416,0.008416
18,6195.66,0.62408,1.27965,0.58957,1.01197,0.91706,0.87526,0.92309,0.80961,0.91692,0.87021,0.91221,0.7654,0.55634,1.21724,0.46979,1.03103,0.008317,0.008317,0.008317
19,6542.13,0.61425,1.23885,0.58087,1.00989,0.92571,0.88948,0.93157,0.81951,0.92146,0.8783,0.91802,0.77423,0.54653,1.1823,0.44454,1.01639,0.008218,0.008218,0.008218
20,6883.85,0.6103,1.22871,0.56292,1.00588,0.93335,0.88696,0.93265,0.82373,0.93177,0.88123,0.92073,0.7739,0.5461,1.17543,0.42876,1.01076,0.008119,0.008119,0.008119
21,7235.57,0.61046,1.21584,0.55765,1.00623,0.91793,0.89675,0.93394,0.82727,0.91449,0.89482,0.92373,0.78332,0.53766,1.18249,0.42922,1.00416,0.00802,0.00802,0.00802
22,7584.3,0.59727,1.17654,0.54212,0.99531,0.93509,0.89103,0.93563,0.83016,0.9336,0.88144,0.92168,0.78341,0.52744,1.1682,0.41397,0.99845,0.007921,0.007921,0.007921
23,7944.36,0.5917,1.19063,0.5404,0.99329,0.93203,0.89708,0.93546,0.83037,0.94132,0.87551,0.92364,0.77987,0.53049,1.17211,0.41927,0.99963,0.007822,0.007822,0.007822
24,8299.88,0.59354,1.1662,0.53923,0.9943,0.93838,0.90008,0.93959,0.83139,0.92963,0.89363,0.92917,0.78783,0.52916,1.15213,0.40703,1.00348,0.007723,0.007723,0.007723
25,8649.29,0.58451,1.16442,0.52504,0.98625,0.92938,0.90839,0.9413,0.83712,0.91914,0.9041,0.92762,0.79015,0.51746,1.10763,0.40208,0.99583,0.007624,0.007624,0.007624
26,9000.88,0.57609,1.13321,0.50908,0.98081,0.93893,0.90139,0.94155,0.83838,0.93228,0.89523,0.92684,0.79383,0.51542,1.1164,0.39447,0.99692,0.007525,0.007525,0.007525
27,9354.81,0.57454,1.13367,0.49718,0.98368,0.94894,0.90339,0.94341,0.84287,0.94502,0.89798,0.93141,0.80128,0.50241,1.08191,0.38302,0.98071,0.007426,0.007426,0.007426
28,9704.76,0.56946,1.13111,0.49389,0.97892,0.94514,0.91489,0.94753,0.84761,0.93887,0.90852,0.93585,0.80545,0.49772,1.08329,0.36945,0.98901,0.007327,0.007327,0.007327
29,10054.6,0.55976,1.09113,0.47756,0.97488,0.94756,0.91108,0.94682,0.84938,0.94248,0.9053,0.93572,0.80765,0.49879,1.0712,0.36271,0.9814,0.007228,0.007228,0.007228
30,10400.1,0.55511,1.08427,0.48241,0.97353,0.94228,0.91207,0.94619,0.84989,0.93812,0.9057,0.937,0.8063,0.48771,1.0759,0.36611,0.97176,0.007129,0.007129,0.007129
31,10742.4,0.55836,1.08596,0.47423,0.9705,0.9475,0.91781,0.9514,0.85617,0.94534,0.90675,0.93912,0.81064,0.48654,1.06871,0.36328,0.97346,0.00703,0.00703,0.00703
32,11090.3,0.55457,1.06995,0.47307,0.97032,0.95146,0.91313,0.94826,0.85137,0.94774,0.91037,0.93654,0.8082,0.4881,1.04975,0.36253,0.97731,0.006931,0.006931,0.006931
33,11438.7,0.55088,1.06362,0.45902,0.96491,0.95229,0.90801,0.9483,0.85611,0.94941,0.90539,0.93942,0.81445,0.47938,1.07596,0.354,0.97046,0.006832,0.006832,0.006832
34,11783.1,0.54388,1.06087,0.44965,0.96345,0.9485,0.91296,0.94726,0.85445,0.94234,0.90936,0.93413,0.80849,0.47536,1.05605,0.35605,0.96227,0.006733,0.006733,0.006733
35,12114.3,0.53523,1.04072,0.43868,0.95926,0.95011,0.92188,0.9515,0.863,0.94774,0.9123,0.94435,0.82078,0.47462,1.022,0.33598,0.9677,0.006634,0.006634,0.006634
36,12455.4,0.5412,1.04688,0.44815,0.96005,0.95335,0.9252,0.9512,0.86329,0.94457,0.91935,0.93725,0.81651,0.47145,1.05322,0.34103,0.96603,0.006535,0.006535,0.006535
37,12793.1,0.52637,1.01327,0.43396,0.95217,0.94202,0.92216,0.95017,0.86223,0.94541,0.91366,0.94191,0.82014,0.47083,1.05588,0.33631,0.96914,0.006436,0.006436,0.006436
38,13132.2,0.53435,1.0286,0.43688,0.95869,0.9545,0.91984,0.95251,0.86026,0.94984,0.91603,0.94299,0.82012,0.47792,1.04892,0.33751,0.97202,0.006337,0.006337,0.006337
39,13470.1,0.53173,1.01165,0.43024,0.95101,0.96003,0.91802,0.95416,0.86817,0.95517,0.91034,0.94424,0.82501,0.4662,1.02449,0.33422,0.95769,0.006238,0.006238,0.006238
40,13812.5,0.527,1.01496,0.42756,0.9503,0.947,0.92874,0.95486,0.86954,0.93709,0.92683,0.94686,0.82568,0.46253,1.03777,0.3262,0.9561,0.006139,0.006139,0.006139
41,14146.7,0.51846,0.98897,0.4119,0.94898,0.95403,0.92552,0.95311,0.86791,0.95205,0.92181,0.94458,0.82428,0.46384,1.02813,0.32487,0.9581,0.00604,0.00604,0.00604
42,14476.8,0.51676,0.98288,0.40944,0.94501,0.9509,0.92811,0.95637,0.86822,0.95541,0.91244,0.94575,0.82631,0.46016,1.01005,0.32133,0.95807,0.005941,0.005941,0.005941
43,14818.2,0.51962,1.00057,0.4132,0.9488,0.95973,0.92319,0.95628,0.87083,0.94942,0.92298,0.94594,0.82902,0.45599,1.00686,0.31533,0.95787,0.005842,0.005842,0.005842
44,15163.7,0.51699,0.98208,0.40727,0.94408,0.95615,0.93171,0.95783,0.87403,0.94921,0.9235,0.94648,0.83361,0.45671,1.01102,0.31245,0.94784,0.005743,0.005743,0.005743
45,15512.2,0.5082,0.97777,0.40336,0.94465,0.95193,0.9329,0.95751,0.876,0.94591,0.92497,0.94586,0.83372,0.45424,1.0056,0.31159,0.95529,0.005644,0.005644,0.005644
46,15848.6,0.51162,0.97157,0.40013,0.94388,0.95826,0.92863,0.9569,0.87375,0.9541,0.92532,0.94865,0.83521,0.45209,1.00573,0.30501,0.95304,0.005545,0.005545,0.005545
47,16182.7,0.50315,0.96494,0.38772,0.93812,0.96036,0.9258,0.95628,0.87551,0.9591,0.92459,0.94851,0.83323,0.44936,1.02587,0.30152,0.95125,0.005446,0.005446,0.005446
48,16522.3,0.50188,0.95119,0.38731,0.9379,0.96082,0.91935,0.95607,0.87376,0.94319,0.92946,0.94677,0.83297,0.44596,0.99931,0.30684,0.95261,0.005347,0.005347,0.005347
49,16858.8,0.4966,0.94103,0.3887,0.93349,0.95152,0.93426,0.95873,0.87594,0.94619,0.93039,0.94837,0.83336,0.45014,1.02023,0.30438,0.95554,0.005248,0.005248,0.005248
50,17193.1,0.49285,0.92934,0.37552,0.9307,0.94791,0.9372,0.95821,0.87537,0.94519,0.93474,0.94972,0.83732,0.45138,1.01824,0.30023,0.95972,0.005149,0.005149,0.005149
